Epoch,Loss,Accuracy,Precision,Recall,F1,IoU_Class_0,IoU_Class_1,IoU_Class_2
1,0.9286959626384683,0.2899908987032313,0.8719518937343358,0.2899908987032313,0.36811799985972415,0.23738759087368744,0.019472073193758672,0.1290578046548879
2,0.3328307218648292,0.3532332855017007,0.9136964052745329,0.3532332855017007,0.4302594568139412,0.2909707975996445,0.03694861479505637,0.15230274608643593
3,0.2915436932565393,0.36078918872236393,0.9143490009229256,0.36078918872236393,0.438885761670412,0.2989357136437588,0.04026254780676506,0.15135267582675088
4,0.26818562379559957,0.35031854538690477,0.9143617754392055,0.3503185453869048,0.42683720282453386,0.2879379984348942,0.03909326609151837,0.14924524809193465
5,0.26063400718408664,0.3477409518494898,0.9143918479718944,0.3477409518494898,0.4231937469628465,0.28465482444584234,0.03871842210257015,0.14925284523309787
6,0.25911070899786176,0.3470417463860544,0.9144207947893628,0.3470417463860544,0.42275444859905503,0.284270063777783,0.038612530141077565,0.14940270434415792
7,0.2522277450440703,0.34725599224064624,0.9144479233281398,0.34725599224064624,0.4228021794358283,0.2842435993234547,0.03878996660972128,0.1496041316954767
8,0.24715151587450826,0.3471056879783163,0.9144237836827603,0.3471056879783163,0.4227596162129486,0.28431160316186804,0.038827654642530775,0.14967989282003488
9,0.24630260779648214,0.3476844839498299,0.9144678469266989,0.3476844839498299,0.42285014588534164,0.2842471308239365,0.039143455384306525,0.14966643790512651
10,0.23358564642635551,0.34805235570790816,0.9145250492526625,0.34805235570790816,0.4229466330712662,0.2842305800541191,0.03955223363181439,0.15040508823655607
11,0.22785197359484596,0.3485256895727041,0.9145792788031029,0.3485256895727041,0.423045422196402,0.284211047364859,0.040154671373904265,0.15092246520249167
12,0.21901771365790754,0.34896912866709184,0.9146546474428139,0.34896912866709184,0.42317291578262856,0.2842885309732198,0.04011295232324234,0.15224307262592734
13,0.20740526209811908,0.3490463568239796,0.9146256959891836,0.3490463568239796,0.4231326073736341,0.28417798899278857,0.040713117702275245,0.15149082065761327
14,0.20715486308610118,0.34944744499362246,0.9146354917912698,0.34944744499362246,0.4231655768936021,0.2842341072747499,0.041438812987482955,0.151847184430724
15,0.20350097381585353,0.34942585432610546,0.9145959565808247,0.34942585432610546,0.4231078826187025,0.28433385248778065,0.04172073666231856,0.15182207158168148
